stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn,id,styr
Louisiana,LA,22,2023,0,0,1,2016,7,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA2023,94
Louisiana,LA,22,2024,0,0,1,2016,8,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA2024,95
Massachusetts,MA,25,2020,1,0,1,2012,8,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,1,1,1,0,1,MA2020,96
Massachusetts,MA,25,2024,1,0,1,2012,12,1,1,2,2,2,3,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,1,1,1,0,1,MA2024,100
Massachusetts,MA,25,2021,1,0,1,2012,9,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,1,1,1,0,1,MA2021,97
Massachusetts,MA,25,2022,1,0,1,2012,10,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,1,1,1,0,1,MA2022,98
Massachusetts,MA,25,2023,1,0,1,2012,11,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,1,1,1,0,1,MA2023,99
Maryland,MD,24,2024,1,1,1,2014,10,1,1,1,2,2,2,2,1,0,1,1,1,2,1,2,2,2,2,2,2,5,2,1,1,0,1,0,1,1,0,1,1,MD2024,105
Maryland,MD,24,2021,0,0,1,2014,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MD2021,102
Maryland,MD,24,2023,0,0,1,2014,9,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MD2023,104
Maryland,MD,24,2020,0,0,1,2014,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MD2020,101
Maryland,MD,24,2022,0,0,1,2014,8,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MD2022,103
Maine,ME,23,2021,1,1,1,1999,22,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,3,1,0,1,ME2021,107
Maine,ME,23,2024,1,1,1,1999,25,1,1,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,1,0,1,3,1,0,1,ME2024,110
Maine,ME,23,2023,1,1,1,1999,24,1,1,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,1,0,1,3,1,0,1,ME2023,109
Maine,ME,23,2022,1,1,1,1999,23,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,3,1,0,1,ME2022,108
Maine,ME,23,2020,1,1,1,1999,21,0,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,3,1,0,1,ME2020,106
Michigan,MI,26,2020,1,0,1,2008,12,1,1,2,2,2,1,2,1,0,0,1,0,1,0,1,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,0,0,MI2020,111
Michigan,MI,26,2023,1,0,1,2008,15,1,1,2,2,2,2,2,1,0,0,1,1,1,0,1,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,0,0,MI2023,114
Michigan,MI,26,2024,1,0,1,2008,16,1,1,2,2,2,2,2,1,0,0,1,1,1,0,1,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,0,0,MI2024,115
Michigan,MI,26,2022,1,0,1,2008,14,1,1,2,2,2,2,2,1,0,0,1,1,1,0,1,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,0,0,MI2022,113
Michigan,MI,26,2021,1,0,1,2008,13,1,1,2,2,2,1,2,1,0,0,1,0,1,0,1,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,0,0,MI2021,112
Minnesota,MN,27,2021,0,0,1,2014,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MN2021,117
Minnesota,MN,27,2022,0,0,1,2014,8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MN2022,118
Minnesota,MN,27,2020,0,0,1,2014,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MN2020,116
Minnesota,MN,27,2024,1,1,1,2014,10,0,1,1,2,2,2,2,1,0,1,0,1,1,0,2,2,2,2,2,2,4,2,2,2,1,2,1,1,1,0,0,1,MN2024,120
Minnesota,MN,27,2023,0,0,1,2014,9,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MN2023,119
Missouri,MO,29,2022,0,0,1,2018,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MO2022,123
Missouri,MO,29,2023,1,0,1,2018,5,0,2,2,2,2,1,1,0,0,0,1,1,1,0,1,1,1,2,0,0,5,2,1,1,0,1,0,1,1,0,0,0,MO2023,124
Missouri,MO,29,2020,0,0,1,2018,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MO2020,121
Missouri,MO,29,2024,1,0,1,2018,6,1,2,2,2,2,1,1,0,0,0,1,1,1,0,1,2,2,2,1,1,5,2,1,1,0,1,0,1,1,0,0,1,MO2024,125
Missouri,MO,29,2021,0,0,1,2018,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MO2021,122
Mississippi,MS,28,2021,0,0,1,2018,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS2021,127
Mississippi,MS,28,2022,0,0,1,2018,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS2022,128
Mississippi,MS,28,2024,0,0,1,2018,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS2024,130
Mississippi,MS,28,2023,0,0,1,2018,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS2023,129
Mississippi,MS,28,2020,0,0,1,2018,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS2020,126
Montana,MT,30,2022,1,1,1,2004,18,1,1,2,2,2,3,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,4,3,2,2,1,1,1,1,0,1,MT2022,133
Montana,MT,30,2023,1,1,1,2004,19,1,1,2,2,2,3,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,4,3,2,2,1,1,1,1,0,1,MT2023,134
Montana,MT,30,2021,1,0,1,2004,17,0,1,0,1,2,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,4,3,2,1,0,0,0,0,0,0,MT2021,132
Montana,MT,30,2020,0,0,1,2004,16,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MT2020,131
Montana,MT,30,2024,1,1,1,2004,20,1,1,2,2,2,3,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,4,3,2,2,1,1,1,1,0,1,MT2024,135
