id,styr,stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn
27,AR2015,Arkansas,AR,5,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AR2014,Arkansas,AR,5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,AR2024,Arkansas,AR,5,2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,AR2023,Arkansas,AR,5,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AR2013,Arkansas,AR,5,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,AZ2024,Arizona,AZ,4,2024,1,0,1,2010,14,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1
42,AZ2018,Arizona,AZ,4,2018,0,0,1,2010,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,AZ2017,Arizona,AZ,4,2017,0,0,1,2010,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,AZ2022,Arizona,AZ,4,2022,1,0,1,2010,12,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1
40,AZ2016,Arizona,AZ,4,2016,0,0,1,2010,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AZ2014,Arizona,AZ,4,2014,0,0,1,2010,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,AZ2023,Arizona,AZ,4,2023,1,0,1,2010,13,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1
37,AZ2013,Arizona,AZ,4,2013,0,0,1,2010,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,AZ2015,Arizona,AZ,4,2015,0,0,1,2010,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,AZ2021,Arizona,AZ,4,2021,1,0,1,2010,11,0,2,2,2,2,1,1,2,1,1,1,1,2,1,0,0,0,0,1,2,5,2,2,2,1,1,0,1,1,0,1,0
